epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  2.7685015332e+02     1.7685753474e-02  3.4238658870e-01  315.5813
    2  1.2186209760e+01     3.7106301051e-03  6.6919015260e-02  314.5173
    3  4.1970176079e+00     2.1774574330e-03  4.6907827836e-02  314.6093
    4  1.2049842234e+00     1.1662280554e-03  4.0810726054e-02  314.3098
    5  6.6907023052e-01     8.6869910117e-04  3.7612649225e-02  314.3270
    6  2.1332713766e-01     4.8957273699e-04  3.5669555815e-02  314.1094
    7  1.2539725600e-01     3.7469169839e-04  3.4434663542e-02  314.1664
    8  1.2454517418e-01     3.7349184712e-04  3.3584217772e-02  314.0656
    9  7.0471729756e-02     2.8003268751e-04  3.3048923052e-02  314.7776
   10  5.9892457580e-02     2.5788982120e-04  3.2421890391e-02  314.4174
   11  4.4211061829e-02     2.2093985261e-04  3.1987317615e-02  312.2093
   12  4.0024621213e-02     2.1002350584e-04  3.1607413872e-02  312.5680
   13  3.3433961666e-02     1.9153795311e-04  3.1238438777e-02  312.5503
   14  2.9515509420e-02     1.7966547552e-04  3.0927523645e-02  311.6791
   15  2.6879083054e-02     1.7121618067e-04  3.0709354353e-02  312.0380
   16  2.5398249764e-02     1.6630402106e-04  3.0480845639e-02  312.1218
   17  2.4173299078e-02     1.6214579892e-04  3.0207197386e-02  312.2782
   18  2.2579462821e-02     1.5655088699e-04  2.9936490893e-02  311.9138
   19  2.2231600842e-02     1.5532749215e-04  2.9764120754e-02  311.8597
   20  2.0908794807e-02     1.5047457794e-04  2.9598525076e-02  312.0120
   21  3.8054658792e-02     2.0502005071e-04  2.9433905718e-02  312.1966
   22  2.0462132288e-02     1.4884917500e-04  2.9323257637e-02  312.4944
   23  2.0689070817e-02     1.4974424208e-04  2.9160528378e-02  312.2033
   24  4.9099417681e-02     2.3354211733e-04  2.9055413347e-02  312.1591
   25  1.9901938829e-02     1.4681948178e-04  2.8820215089e-02  312.4828
   26  1.8247346678e-02     1.4032963219e-04  2.8718747445e-02  312.5630
   27  1.8061410840e-02     1.3960175364e-04  2.8619939400e-02  312.3338
   28  1.7761898631e-02     1.3840903162e-04  2.8512417721e-02  312.0200
   29  1.7005521477e-02     1.3532526956e-04  2.8344563771e-02  311.2092
   30  1.6586516347e-02     1.3358742812e-04  2.8246605876e-02  312.2496
   31  1.6761419086e-02     1.3435723275e-04  2.8111979229e-02  311.2993
   32  1.7868884823e-02     1.3895059999e-04  2.8054387646e-02  312.0757
   33  1.5607767268e-02     1.2946043055e-04  2.7921124336e-02  311.7590
   34  1.5726655443e-02     1.2999883240e-04  2.7836767515e-02  311.5431
   35  1.5792702363e-02     1.3031268183e-04  2.7724552942e-02  311.0709
   36  1.5533397930e-02     1.2919689188e-04  2.7668193732e-02  311.0597
   37  1.5504224129e-02     1.2909545774e-04  2.7559661244e-02  311.3147
